TR Period,TR Start Date,TR End Date,Country/Region,Emergency Requests Received,Requests Rejected/Challenged and No Data Provided,Requests where No Data Provided,Requests where Data Provided,Percentage of Requests where Data Provided
2016 H2,7/1/16,12/31/16,India,3,0,0,3,100%
2016 H2,7/1/16,12/31/16,Italy,2,0,0,2,100%
2016 H2,7/1/16,12/31/16,Mexico,2,1,0,1,50%
2016 H2,7/1/16,12/31/16,Netherlands,3,0,1,2,67%
2016 H2,7/1/16,12/31/16,Norway,1,0,0,1,100%
2016 H2,7/1/16,12/31/16,Spain,2,0,0,2,100%
2016 H2,7/1/16,12/31/16,Sweden,2,0,0,2,100%
2016 H2,7/1/16,12/31/16,Switzerland,1,0,0,1,100%
2016 H2,7/1/16,12/31/16,Taiwan,1,0,0,1,100%
2016 H2,7/1/16,12/31/16,United Kingdom,52,1,9,42,81%
2016 H2,7/1/16,12/31/16,United States of America,81,1,9,71,88%
2017 H1,1/1/17,6/30/17,Australia,1,0,0,1,100%
2017 H1,1/1/17,6/30/17,Austria,1,0,0,1,100%
2017 H1,1/1/17,6/30/17,Canada,17,1,1,15,88%
2017 H1,1/1/17,6/30/17,China mainland,1,0,0,1,100%
2017 H1,1/1/17,6/30/17,Czech Republic,1,0,1,0,0%
2017 H1,1/1/17,6/30/17,Eswatini,1,0,0,1,100%
2017 H1,1/1/17,6/30/17,France,7,0,3,4,57%
2017 H1,1/1/17,6/30/17,Germany,4,1,0,3,75%
2017 H1,1/1/17,6/30/17,Iceland,1,0,0,1,100%
2017 H1,1/1/17,6/30/17,India,2,0,0,2,100%
2017 H1,1/1/17,6/30/17,Israel,1,0,0,1,100%
2017 H1,1/1/17,6/30/17,Japan,1,0,1,0,0%
2017 H1,1/1/17,6/30/17,Lithuania,1,0,0,1,100%
2017 H1,1/1/17,6/30/17,Mexico,2,0,0,2,100%
2017 H1,1/1/17,6/30/17,Netherlands,3,0,0,3,100%
2017 H1,1/1/17,6/30/17,Sweden,1,0,0,1,100%
2017 H1,1/1/17,6/30/17,Switzerland,1,0,0,1,100%
2017 H1,1/1/17,6/30/17,United Kingdom,104,8,18,78,75%
2017 H1,1/1/17,6/30/17,United States of America,118,1,16,101,86%
2017 H2,7/1/17,12/31/17,Australia,3,0,0,3,100%
2017 H2,7/1/17,12/31/17,Barbados,1,0,0,1,100%
2017 H2,7/1/17,12/31/17,Brazil,3,0,1,2,67%
2017 H2,7/1/17,12/31/17,Canada,31,1,3,27,87%
2017 H2,7/1/17,12/31/17,China mainland,1,0,0,1,100%
2017 H2,7/1/17,12/31/17,France,5,0,1,4,80%
2017 H2,7/1/17,12/31/17,Germany,4,0,1,3,75%
2017 H2,7/1/17,12/31/17,Ireland,1,0,0,1,100%
2017 H2,7/1/17,12/31/17,Italy,5,0,2,3,60%
2017 H2,7/1/17,12/31/17,Japan,4,0,1,3,75%
2017 H2,7/1/17,12/31/17,Lithuania,1,0,0,1,100%
2017 H2,7/1/17,12/31/17,Mexico,2,0,0,2,100%
2017 H2,7/1/17,12/31/17,Netherlands,5,0,0,5,100%
2017 H2,7/1/17,12/31/17,Norway,2,0,0,2,100%
2017 H2,7/1/17,12/31/17,Poland,3,0,0,3,100%
2017 H2,7/1/17,12/31/17,Spain,2,0,0,2,100%
2017 H2,7/1/17,12/31/17,Switzerland,5,0,1,4,80%
2017 H2,7/1/17,12/31/17,Ukraine,1,0,0,1,100%
2017 H2,7/1/17,12/31/17,United Kingdom,98,2,21,75,77%
2017 H2,7/1/17,12/31/17,United States of America,113,6,12,95,84%
2018 H1,1/1/18,6/30/18,Australia,2,0,1,1,50%
2018 H1,1/1/18,6/30/18,Brazil,3,1,0,2,67%
2018 H1,1/1/18,6/30/18,Canada,24,1,1,22,92%
2018 H1,1/1/18,6/30/18,Czech Republic,1,0,0,1,100%
2018 H1,1/1/18,6/30/18,Dominican Republic,1,0,0,1,100%
2018 H1,1/1/18,6/30/18,France,9,0,0,9,100%
2018 H1,1/1/18,6/30/18,Germany,9,0,0,9,100%
2018 H1,1/1/18,6/30/18,Iceland,1,0,0,1,100%
2018 H1,1/1/18,6/30/18,India,3,0,0,3,100%
2018 H1,1/1/18,6/30/18,Ireland,1,0,0,1,100%
2018 H1,1/1/18,6/30/18,Israel,1,0,0,1,100%
2018 H1,1/1/18,6/30/18,Italy,4,0,0,4,100%
2018 H1,1/1/18,6/30/18,Mexico,9,0,1,8,89%
2018 H1,1/1/18,6/30/18,Netherlands,2,0,0,2,100%
2018 H1,1/1/18,6/30/18,Norway,3,0,0,3,100%
2018 H1,1/1/18,6/30/18,Poland,2,1,0,1,50%
2018 H1,1/1/18,6/30/18,Slovakia,1,0,0,1,100%
2018 H1,1/1/18,6/30/18,South Korea,1,0,0,1,100%
2018 H1,1/1/18,6/30/18,Spain,1,0,0,1,100%
2018 H1,1/1/18,6/30/18,Sweden,1,0,0,1,100%
2018 H1,1/1/18,6/30/18,Switzerland,9,0,3,6,67%
2018 H1,1/1/18,6/30/18,Taiwan,1,0,0,1,100%
2018 H1,1/1/18,6/30/18,United Arab Emirates,1,0,0,1,100%
2018 H1,1/1/18,6/30/18,United Kingdom,172,0,40,132,77%
2018 H1,1/1/18,6/30/18,United States of America,145,6,10,129,89%
2018 H2,7/1/18,12/31/18,Australia,3,1,0,2,67%
2018 H2,7/1/18,12/31/18,Austria,2,0,0,2,100%
2018 H2,7/1/18,12/31/18,Belgium,2,0,0,2,100%
2018 H2,7/1/18,12/31/18,Brazil,5,1,1,3,60%
2018 H2,7/1/18,12/31/18,Canada,17,0,0,17,100%
2018 H2,7/1/18,12/31/18,Czech Republic,1,0,0,1,100%
2018 H2,7/1/18,12/31/18,Denmark,1,0,0,1,100%
2018 H2,7/1/18,12/31/18,France,11,0,0,11,100%
2018 H2,7/1/18,12/31/18,Germany,16,1,0,15,94%
2018 H2,7/1/18,12/31/18,India,8,0,2,6,75%
2018 H2,7/1/18,12/31/18,Israel,1,0,0,1,100%
2018 H2,7/1/18,12/31/18,Italy,3,0,0,3,100%
2018 H2,7/1/18,12/31/18,Japan,10,0,1,9,90%
2018 H2,7/1/18,12/31/18,Kosovo,1,0,0,1,100%
2018 H2,7/1/18,12/31/18,Mexico,5,1,0,4,80%
2018 H2,7/1/18,12/31/18,Netherlands,6,0,1,5,83%
2018 H2,7/1/18,12/31/18,New Zealand,1,0,0,1,100%
2018 H2,7/1/18,12/31/18,Norway,3,0,0,3,100%
2018 H2,7/1/18,12/31/18,Qatar,1,1,0,0,0%
2018 H2,7/1/18,12/31/18,Singapore,2,0,0,2,100%
2018 H2,7/1/18,12/31/18,Sweden,1,0,0,1,100%
2018 H2,7/1/18,12/31/18,Switzerland,6,0,1,5,83%
2018 H2,7/1/18,12/31/18,Ukraine,1,0,0,1,100%
2018 H2,7/1/18,12/31/18,United Kingdom,198,0,25,173,87%
2018 H2,7/1/18,12/31/18,United States of America,189,1,10,178,94%
2019 H1,1/1/19,6/30/19,Australia,4,0,0,4,100%
2019 H1,1/1/19,6/30/19,Belgium,1,0,0,1,100%
2019 H1,1/1/19,6/30/19,Brazil,10,0,2,8,80%
2019 H1,1/1/19,6/30/19,Canada,33,0,2,31,94%
2019 H1,1/1/19,6/30/19,China mainland,1,0,0,1,100%
2019 H1,1/1/19,6/30/19,France,12,0,0,12,100%
2019 H1,1/1/19,6/30/19,Germany,20,0,1,19,95%
2019 H1,1/1/19,6/30/19,India,3,1,0,2,67%
2019 H1,1/1/19,6/30/19,Ireland,2,0,1,1,50%
2019 H1,1/1/19,6/30/19,Italy,1,0,0,1,100%
2019 H1,1/1/19,6/30/19,Japan,7,0,0,7,100%
2019 H1,1/1/19,6/30/19,Liechtenstein,1,0,0,1,100%
2019 H1,1/1/19,6/30/19,Mexico,4,0,0,4,100%
2019 H1,1/1/19,6/30/19,Netherlands,8,0,0,8,100%
2019 H1,1/1/19,6/30/19,New Zealand,2,0,0,2,100%
2019 H1,1/1/19,6/30/19,Poland,1,0,0,1,100%
2019 H1,1/1/19,6/30/19,Singapore,1,0,0,1,100%
2019 H1,1/1/19,6/30/19,South Korea,1,0,0,1,100%
2019 H1,1/1/19,6/30/19,Spain,1,0,0,1,100%
2019 H1,1/1/19,6/30/19,Sweden,2,0,0,2,100%
2019 H1,1/1/19,6/30/19,Switzerland,14,0,0,14,100%
2019 H1,1/1/19,6/30/19,Taiwan,4,0,0,4,100%
2019 H1,1/1/19,6/30/19,United Kingdom,259,13,21,225,87%
2019 H1,1/1/19,6/30/19,United States of America,206,4,17,185,90%
2019 H2,7/1/19,12/31/19,Australia,5,0,1,4,80%
2019 H2,7/1/19,12/31/19,Austria,5,0,0,5,100%
2019 H2,7/1/19,12/31/19,Brazil,13,0,1,12,92%
2019 H2,7/1/19,12/31/19,Canada,55,0,3,52,95%
2019 H2,7/1/19,12/31/19,Chile,1,0,0,1,100%
2019 H2,7/1/19,12/31/19,China mainland,2,0,0,2,100%
2019 H2,7/1/19,12/31/19,France,9,0,0,9,100%
2019 H2,7/1/19,12/31/19,Germany,22,0,2,20,91%
2019 H2,7/1/19,12/31/19,Greece,2,0,0,2,100%
2019 H2,7/1/19,12/31/19,India,3,0,0,3,100%
2019 H2,7/1/19,12/31/19,Israel,2,0,0,2,100%
2019 H2,7/1/19,12/31/19,Japan,7,0,0,7,100%
2019 H2,7/1/19,12/31/19,Malta,3,0,0,3,100%
2019 H2,7/1/19,12/31/19,Mexico,3,0,0,3,100%
2019 H2,7/1/19,12/31/19,Netherlands,11,0,1,10,91%
2019 H2,7/1/19,12/31/19,Norway,2,0,0,2,100%
2019 H2,7/1/19,12/31/19,Poland,1,0,1,0,0%
2019 H2,7/1/19,12/31/19,Qatar,1,0,0,1,100%
2019 H2,7/1/19,12/31/19,Sweden,1,0,1,0,0%
2019 H2,7/1/19,12/31/19,Switzerland,13,0,1,12,92%
2019 H2,7/1/19,12/31/19,Taiwan,1,0,0,1,100%
2019 H2,7/1/19,12/31/19,Turkey,1,0,0,1,100%
2019 H2,7/1/19,12/31/19,United Kingdom,423,3,35,385,91%
2019 H2,7/1/19,12/31/19,United States of America,249,3,31,215,86%
2020 H1,1/1/20,6/30/20,Australia,11,1,2,8,73%
2020 H1,1/1/20,6/30/20,Austria,6,0,3,3,50%
2020 H1,1/1/20,6/30/20,Brazil,7,0,0,7,100%
2020 H1,1/1/20,6/30/20,Canada,62,0,5,57,92%
2020 H1,1/1/20,6/30/20,Chile,3,0,0,3,100%
2020 H1,1/1/20,6/30/20,Czech Republic,1,0,0,1,100%
2020 H1,1/1/20,6/30/20,France,11,0,0,11,100%
2020 H1,1/1/20,6/30/20,Germany,22,0,3,19,86%
2020 H1,1/1/20,6/30/20,India,4,0,1,3,75%
2020 H1,1/1/20,6/30/20,Iraq,1,0,0,1,100%
2020 H1,1/1/20,6/30/20,Israel,2,0,0,2,100%
2020 H1,1/1/20,6/30/20,Italy,4,0,0,4,100%
2020 H1,1/1/20,6/30/20,Japan,10,0,0,10,100%
2020 H1,1/1/20,6/30/20,Lithuania,1,0,0,1,100%
2020 H1,1/1/20,6/30/20,Mexico,3,0,0,3,100%
2020 H1,1/1/20,6/30/20,Netherlands,8,0,1,7,88%
2020 H1,1/1/20,6/30/20,Nigeria,1,0,0,1,100%
2020 H1,1/1/20,6/30/20,Norway,3,0,0,3,100%
2020 H1,1/1/20,6/30/20,Poland,4,0,0,4,100%
2020 H1,1/1/20,6/30/20,Portugal,1,0,0,1,100%
2020 H1,1/1/20,6/30/20,Singapore,1,0,0,1,100%
2020 H1,1/1/20,6/30/20,Spain,1,0,0,1,100%
2020 H1,1/1/20,6/30/20,Switzerland,19,0,4,15,79%
2020 H1,1/1/20,6/30/20,Taiwan,10,0,0,10,100%
2020 H1,1/1/20,6/30/20,Turkey,1,0,0,1,100%
2020 H1,1/1/20,6/30/20,United Kingdom,333,22,27,284,85%
2020 H1,1/1/20,6/30/20,United States of America,240,2,17,221,92%
2020 H2,7/1/20,12/31/20,Australia,19,0,1,18,95%
2020 H2,7/1/20,12/31/20,Austria,6,0,1,5,83%
2020 H2,7/1/20,12/31/20,Belgium,2,0,1,1,50%
2020 H2,7/1/20,12/31/20,Brazil,28,0,0,28,100%
2020 H2,7/1/20,12/31/20,Bulgaria,1,0,1,0,0%
2020 H2,7/1/20,12/31/20,Canada,102,0,11,91,89%
2020 H2,7/1/20,12/31/20,Chile,2,0,0,2,100%
2020 H2,7/1/20,12/31/20,China mainland,2,0,0,2,100%
2020 H2,7/1/20,12/31/20,Croatia,1,0,0,1,100%
2020 H2,7/1/20,12/31/20,France,18,1,0,17,94%
2020 H2,7/1/20,12/31/20,Germany,28,1,2,25,89%
2020 H2,7/1/20,12/31/20,India,30,1,2,27,90%
2020 H2,7/1/20,12/31/20,Israel,5,0,0,5,100%
2020 H2,7/1/20,12/31/20,Italy,8,1,0,7,88%
2020 H2,7/1/20,12/31/20,Japan,30,0,0,30,100%
2020 H2,7/1/20,12/31/20,Mexico,2,1,0,1,50%
2020 H2,7/1/20,12/31/20,Netherlands,9,0,1,8,89%
2020 H2,7/1/20,12/31/20,New Zealand,4,0,1,3,75%
2020 H2,7/1/20,12/31/20,Norway,7,0,1,6,86%
2020 H2,7/1/20,12/31/20,Pakistan,1,0,0,1,100%
2020 H2,7/1/20,12/31/20,Poland,2,0,0,2,100%
2020 H2,7/1/20,12/31/20,Portugal,1,0,0,1,100%
2020 H2,7/1/20,12/31/20,Spain,2,0,0,2,100%
2020 H2,7/1/20,12/31/20,Sweden,4,0,0,4,100%
2020 H2,7/1/20,12/31/20,Switzerland,5,0,0,5,100%
2020 H2,7/1/20,12/31/20,Taiwan,1,0,0,1,100%
2020 H2,7/1/20,12/31/20,Turkey,1,0,0,1,100%
2020 H2,7/1/20,12/31/20,United Kingdom,558,0,34,524,94%
2020 H2,7/1/20,12/31/20,United States of America,283,3,19,261,92%
2021 H1,1/1/21,6/30/21,Argentina,3,1,1,1,33%
2021 H1,1/1/21,6/30/21,Australia,19,0,1,18,95%
2021 H1,1/1/21,6/30/21,Austria,2,0,0,2,100%
2021 H1,1/1/21,6/30/21,Belgium,2,0,0,2,100%
2021 H1,1/1/21,6/30/21,Brazil,54,3,1,50,93%
2021 H1,1/1/21,6/30/21,Canada,73,0,4,69,95%
2021 H1,1/1/21,6/30/21,Chile,1,0,0,1,100%
2021 H1,1/1/21,6/30/21,Costa Rica,1,0,0,1,100%
2021 H1,1/1/21,6/30/21,Czech Republic,1,0,0,1,100%
2021 H1,1/1/21,6/30/21,France,10,0,0,10,100%
2021 H1,1/1/21,6/30/21,Germany,19,0,0,19,100%
2021 H1,1/1/21,6/30/21,Greece,1,0,0,1,100%
2021 H1,1/1/21,6/30/21,India,14,0,3,11,79%
2021 H1,1/1/21,6/30/21,Ireland,1,0,0,1,100%
2021 H1,1/1/21,6/30/21,Israel,7,0,0,7,100%
2021 H1,1/1/21,6/30/21,Italy,7,0,0,7,100%
2021 H1,1/1/21,6/30/21,Japan,63,1,1,61,97%
2021 H1,1/1/21,6/30/21,Lithuania,1,0,0,1,100%
2021 H1,1/1/21,6/30/21,Mexico,1,1,0,0,0%
2021 H1,1/1/21,6/30/21,Netherlands,6,1,0,5,83%
2021 H1,1/1/21,6/30/21,New Zealand,2,0,0,2,100%
2021 H1,1/1/21,6/30/21,Norway,1,0,1,0,0%
2021 H1,1/1/21,6/30/21,Poland,8,0,1,7,88%
2021 H1,1/1/21,6/30/21,Portugal,1,0,0,1,100%
2021 H1,1/1/21,6/30/21,Slovenia,1,0,0,1,100%
2021 H1,1/1/21,6/30/21,South Korea,1,0,0,1,100%
2021 H1,1/1/21,6/30/21,Spain,1,0,1,0,0%
2021 H1,1/1/21,6/30/21,Sweden,1,0,0,1,100%
2021 H1,1/1/21,6/30/21,Switzerland,20,0,1,19,95%
2021 H1,1/1/21,6/30/21,Taiwan,1,0,0,1,100%
2021 H1,1/1/21,6/30/21,Ukraine,5,0,0,5,100%
2021 H1,1/1/21,6/30/21,United Kingdom,637,5,35,597,94%
2021 H1,1/1/21,6/30/21,United States of America,335,3,25,307,92%
2021 H2,7/1/21,12/31/21,Australia,16,0,1,15,94%
2021 H2,7/1/21,12/31/21,Austria,7,0,0,7,100%
2021 H2,7/1/21,12/31/21,Belgium,1,0,0,1,100%
2021 H2,7/1/21,12/31/21,Brazil,43,0,4,39,91%
2021 H2,7/1/21,12/31/21,Canada,61,1,0,60,98%
2021 H2,7/1/21,12/31/21,France,9,0,0,9,100%
2021 H2,7/1/21,12/31/21,Germany,21,0,4,17,81%
2021 H2,7/1/21,12/31/21,Greece,2,0,1,1,50%
2021 H2,7/1/21,12/31/21,India,26,4,3,19,73%
2021 H2,7/1/21,12/31/21,Ireland,2,1,0,1,50%
2021 H2,7/1/21,12/31/21,Israel,2,0,0,2,100%
2021 H2,7/1/21,12/31/21,Italy,4,0,1,3,75%
2021 H2,7/1/21,12/31/21,Japan,100,0,5,95,95%
2021 H2,7/1/21,12/31/21,Mexico,2,0,0,2,100%
2021 H2,7/1/21,12/31/21,Netherlands,7,0,1,6,86%
2021 H2,7/1/21,12/31/21,New Zealand,2,0,1,1,50%
2021 H2,7/1/21,12/31/21,Norway,3,0,0,3,100%
2021 H2,7/1/21,12/31/21,Poland,5,0,2,3,60%
2021 H2,7/1/21,12/31/21,Slovenia,1,0,0,1,100%
2021 H2,7/1/21,12/31/21,South Africa,1,0,0,1,100%
2021 H2,7/1/21,12/31/21,South Korea,2,0,0,2,100%
2021 H2,7/1/21,12/31/21,Spain,1,0,0,1,100%
2021 H2,7/1/21,12/31/21,Sweden,5,0,1,4,80%
2021 H2,7/1/21,12/31/21,Switzerland,19,0,2,17,89%
2021 H2,7/1/21,12/31/21,Taiwan,2,1,0,1,50%
2021 H2,7/1/21,12/31/21,United Kingdom,549,0,23,526,96%
2021 H2,7/1/21,12/31/21,United States of America,423,8,44,371,88%
