period,section,category,sub_category_1,sub_category_2,metric,value
2020-H1,International Government Information Requests,Country,Germany,,account_identifiers_for_other_information_requests,376
2020-H1,International Government Information Requests,Country,Germany,,percentage_of_other_information_requests_where_some_data_was_produced,0.01
2020-H1,International Government Information Requests,Country,Guernsey,,emergency_requests,0
2020-H1,International Government Information Requests,Country,Guernsey,,account_identifiers_for_emergency_requests,0
2020-H1,International Government Information Requests,Country,Guernsey,,percentage_of_emergency_requests_where_some_data_was_produced,0
2020-H1,International Government Information Requests,Country,Guernsey,,other_information_requests,2
2020-H1,International Government Information Requests,Country,Guernsey,,account_identifiers_for_other_information_requests,4
2020-H1,International Government Information Requests,Country,Guernsey,,percentage_of_other_information_requests_where_some_data_was_produced,0
2020-H1,International Government Information Requests,Country,Hungary,,emergency_requests,0
2020-H1,International Government Information Requests,Country,Hungary,,account_identifiers_for_emergency_requests,0
2020-H1,International Government Information Requests,Country,Hungary,,percentage_of_emergency_requests_where_some_data_was_produced,0
2020-H1,International Government Information Requests,Country,Hungary,,other_information_requests,2
2020-H1,International Government Information Requests,Country,Hungary,,account_identifiers_for_other_information_requests,4
2020-H1,International Government Information Requests,Country,Hungary,,percentage_of_other_information_requests_where_some_data_was_produced,0
2020-H1,International Government Information Requests,Country,India,,emergency_requests,6
2020-H1,International Government Information Requests,Country,India,,account_identifiers_for_emergency_requests,11
2020-H1,International Government Information Requests,Country,India,,percentage_of_emergency_requests_where_some_data_was_produced,0.67
2020-H1,International Government Information Requests,Country,India,,other_information_requests,36
2020-H1,International Government Information Requests,Country,India,,account_identifiers_for_other_information_requests,54
2020-H1,International Government Information Requests,Country,India,,percentage_of_other_information_requests_where_some_data_was_produced,0
2020-H1,International Government Information Requests,Country,Ireland,,emergency_requests,5
2020-H1,International Government Information Requests,Country,Ireland,,account_identifiers_for_emergency_requests,7
2020-H1,International Government Information Requests,Country,Ireland,,percentage_of_emergency_requests_where_some_data_was_produced,0.2
2020-H1,International Government Information Requests,Country,Ireland,,other_information_requests,20
2020-H1,International Government Information Requests,Country,Ireland,,account_identifiers_for_other_information_requests,26
2020-H1,International Government Information Requests,Country,Ireland,,percentage_of_other_information_requests_where_some_data_was_produced,0
2020-H1,International Government Information Requests,Country,Israel,,emergency_requests,1
2020-H1,International Government Information Requests,Country,Israel,,account_identifiers_for_emergency_requests,2
2020-H1,International Government Information Requests,Country,Israel,,percentage_of_emergency_requests_where_some_data_was_produced,1
2020-H1,International Government Information Requests,Country,Israel,,other_information_requests,0
2020-H1,International Government Information Requests,Country,Israel,,account_identifiers_for_other_information_requests,0
2020-H1,International Government Information Requests,Country,Israel,,percentage_of_other_information_requests_where_some_data_was_produced,0
2020-H1,International Government Information Requests,Country,Jordan,,emergency_requests,5
2020-H1,International Government Information Requests,Country,Jordan,,account_identifiers_for_emergency_requests,5
2020-H1,International Government Information Requests,Country,Jordan,,percentage_of_emergency_requests_where_some_data_was_produced,0
2020-H1,International Government Information Requests,Country,Jordan,,other_information_requests,5
2020-H1,International Government Information Requests,Country,Jordan,,account_identifiers_for_other_information_requests,5
2020-H1,International Government Information Requests,Country,Jordan,,percentage_of_other_information_requests_where_some_data_was_produced,0
2020-H1,International Government Information Requests,Country,Kosovo,,emergency_requests,0
2020-H1,International Government Information Requests,Country,Kosovo,,account_identifiers_for_emergency_requests,0
2020-H1,International Government Information Requests,Country,Kosovo,,percentage_of_emergency_requests_where_some_data_was_produced,0
2020-H1,International Government Information Requests,Country,Kosovo,,other_information_requests,3
2020-H1,International Government Information Requests,Country,Kosovo,,account_identifiers_for_other_information_requests,3
2020-H1,International Government Information Requests,Country,Kosovo,,percentage_of_other_information_requests_where_some_data_was_produced,0
2020-H1,International Government Information Requests,Country,Kuwait,,emergency_requests,0
2020-H1,International Government Information Requests,Country,Kuwait,,account_identifiers_for_emergency_requests,0
2020-H1,International Government Information Requests,Country,Kuwait,,percentage_of_emergency_requests_where_some_data_was_produced,0
2020-H1,International Government Information Requests,Country,Kuwait,,other_information_requests,1
2020-H1,International Government Information Requests,Country,Kuwait,,account_identifiers_for_other_information_requests,1
2020-H1,International Government Information Requests,Country,Kuwait,,percentage_of_other_information_requests_where_some_data_was_produced,0
2020-H1,International Government Information Requests,Country,Lithuania,,emergency_requests,0
2020-H1,International Government Information Requests,Country,Lithuania,,account_identifiers_for_emergency_requests,0
2020-H1,International Government Information Requests,Country,Lithuania,,percentage_of_emergency_requests_where_some_data_was_produced,0
2020-H1,International Government Information Requests,Country,Lithuania,,other_information_requests,1
2020-H1,International Government Information Requests,Country,Lithuania,,account_identifiers_for_other_information_requests,2
2020-H1,International Government Information Requests,Country,Lithuania,,percentage_of_other_information_requests_where_some_data_was_produced,0
2020-H1,International Government Information Requests,Country,Luxembourg,,emergency_requests,0
2020-H1,International Government Information Requests,Country,Luxembourg,,account_identifiers_for_emergency_requests,0
2020-H1,International Government Information Requests,Country,Luxembourg,,percentage_of_emergency_requests_where_some_data_was_produced,0
2020-H1,International Government Information Requests,Country,Luxembourg,,other_information_requests,2
2020-H1,International Government Information Requests,Country,Luxembourg,,account_identifiers_for_other_information_requests,3
2020-H1,International Government Information Requests,Country,Luxembourg,,percentage_of_other_information_requests_where_some_data_was_produced,0
2020-H1,International Government Information Requests,Country,Macedonia,,emergency_requests,0
2020-H1,International Government Information Requests,Country,Macedonia,,account_identifiers_for_emergency_requests,0
2020-H1,International Government Information Requests,Country,Macedonia,,percentage_of_emergency_requests_where_some_data_was_produced,0
2020-H1,International Government Information Requests,Country,Macedonia,,other_information_requests,1
2020-H1,International Government Information Requests,Country,Macedonia,,account_identifiers_for_other_information_requests,1
2020-H1,International Government Information Requests,Country,Macedonia,,percentage_of_other_information_requests_where_some_data_was_produced,0
2020-H1,International Government Information Requests,Country,Maldives,,emergency_requests,0
2020-H1,International Government Information Requests,Country,Maldives,,account_identifiers_for_emergency_requests,0
2020-H1,International Government Information Requests,Country,Maldives,,percentage_of_emergency_requests_where_some_data_was_produced,0
2020-H1,International Government Information Requests,Country,Maldives,,other_information_requests,4
2020-H1,International Government Information Requests,Country,Maldives,,account_identifiers_for_other_information_requests,4
2020-H1,International Government Information Requests,Country,Maldives,,percentage_of_other_information_requests_where_some_data_was_produced,0
2020-H1,International Government Information Requests,Country,Mexico,,emergency_requests,0
2020-H1,International Government Information Requests,Country,Mexico,,account_identifiers_for_emergency_requests,0
2020-H1,International Government Information Requests,Country,Mexico,,percentage_of_emergency_requests_where_some_data_was_produced,0
2020-H1,International Government Information Requests,Country,Mexico,,other_information_requests,2
2020-H1,International Government Information Requests,Country,Mexico,,account_identifiers_for_other_information_requests,2
2020-H1,International Government Information Requests,Country,Mexico,,percentage_of_other_information_requests_where_some_data_was_produced,0
2020-H1,International Government Information Requests,Country,Netherlands,,emergency_requests,43
2020-H1,International Government Information Requests,Country,Netherlands,,account_identifiers_for_emergency_requests,50
2020-H1,International Government Information Requests,Country,Netherlands,,percentage_of_emergency_requests_where_some_data_was_produced,0.67
2020-H1,International Government Information Requests,Country,Netherlands,,other_information_requests,2
2020-H1,International Government Information Requests,Country,Netherlands,,account_identifiers_for_other_information_requests,7
2020-H1,International Government Information Requests,Country,Netherlands,,percentage_of_other_information_requests_where_some_data_was_produced,0
2020-H1,International Government Information Requests,Country,New Zealand,,emergency_requests,2
2020-H1,International Government Information Requests,Country,New Zealand,,account_identifiers_for_emergency_requests,6
2020-H1,International Government Information Requests,Country,New Zealand,,percentage_of_emergency_requests_where_some_data_was_produced,0.5
2020-H1,International Government Information Requests,Country,New Zealand,,other_information_requests,9
2020-H1,International Government Information Requests,Country,New Zealand,,account_identifiers_for_other_information_requests,13
2020-H1,International Government Information Requests,Country,New Zealand,,percentage_of_other_information_requests_where_some_data_was_produced,0
2020-H1,International Government Information Requests,Country,Norway,,emergency_requests,31
2020-H1,International Government Information Requests,Country,Norway,,account_identifiers_for_emergency_requests,43
2020-H1,International Government Information Requests,Country,Norway,,percentage_of_emergency_requests_where_some_data_was_produced,0.84
2020-H1,International Government Information Requests,Country,Norway,,other_information_requests,66
2020-H1,International Government Information Requests,Country,Norway,,account_identifiers_for_other_information_requests,112
2020-H1,International Government Information Requests,Country,Norway,,percentage_of_other_information_requests_where_some_data_was_produced,0
2020-H1,International Government Information Requests,Country,Pakistan,,emergency_requests,0
2020-H1,International Government Information Requests,Country,Pakistan,,account_identifiers_for_emergency_requests,0
2020-H1,International Government Information Requests,Country,Pakistan,,percentage_of_emergency_requests_where_some_data_was_produced,0
2020-H1,International Government Information Requests,Country,Pakistan,,other_information_requests,1
2020-H1,International Government Information Requests,Country,Pakistan,,account_identifiers_for_other_information_requests,1
2020-H1,International Government Information Requests,Country,Pakistan,,percentage_of_other_information_requests_where_some_data_was_produced,0
2020-H1,International Government Information Requests,Country,Poland,,emergency_requests,4
2020-H1,International Government Information Requests,Country,Poland,,account_identifiers_for_emergency_requests,5
2020-H1,International Government Information Requests,Country,Poland,,percentage_of_emergency_requests_where_some_data_was_produced,0.25
2020-H1,International Government Information Requests,Country,Poland,,other_information_requests,16
2020-H1,International Government Information Requests,Country,Poland,,account_identifiers_for_other_information_requests,24
2020-H1,International Government Information Requests,Country,Poland,,percentage_of_other_information_requests_where_some_data_was_produced,0.06
2020-H1,International Government Information Requests,Country,Portugal,,emergency_requests,0
2020-H1,International Government Information Requests,Country,Portugal,,account_identifiers_for_emergency_requests,0
2020-H1,International Government Information Requests,Country,Portugal,,percentage_of_emergency_requests_where_some_data_was_produced,0
2020-H1,International Government Information Requests,Country,Portugal,,other_information_requests,2
2020-H1,International Government Information Requests,Country,Portugal,,account_identifiers_for_other_information_requests,3
2020-H1,International Government Information Requests,Country,Portugal,,percentage_of_other_information_requests_where_some_data_was_produced,0
2020-H1,International Government Information Requests,Country,Qatar,,emergency_requests,3
2020-H1,International Government Information Requests,Country,Qatar,,account_identifiers_for_emergency_requests,3
2020-H1,International Government Information Requests,Country,Qatar,,percentage_of_emergency_requests_where_some_data_was_produced,0
2020-H1,International Government Information Requests,Country,Qatar,,other_information_requests,0
2020-H1,International Government Information Requests,Country,Qatar,,account_identifiers_for_other_information_requests,0
2020-H1,International Government Information Requests,Country,Qatar,,percentage_of_other_information_requests_where_some_data_was_produced,0
2020-H1,International Government Information Requests,Country,Serbia,,emergency_requests,0
2020-H1,International Government Information Requests,Country,Serbia,,account_identifiers_for_emergency_requests,0
2020-H1,International Government Information Requests,Country,Serbia,,percentage_of_emergency_requests_where_some_data_was_produced,0
2020-H1,International Government Information Requests,Country,Serbia,,other_information_requests,2
2020-H1,International Government Information Requests,Country,Serbia,,account_identifiers_for_other_information_requests,30
2020-H1,International Government Information Requests,Country,Serbia,,percentage_of_other_information_requests_where_some_data_was_produced,0
2020-H1,International Government Information Requests,Country,Singapore,,emergency_requests,0
2020-H1,International Government Information Requests,Country,Singapore,,account_identifiers_for_emergency_requests,0
2020-H1,International Government Information Requests,Country,Singapore,,percentage_of_emergency_requests_where_some_data_was_produced,0
2020-H1,International Government Information Requests,Country,Singapore,,other_information_requests,6
2020-H1,International Government Information Requests,Country,Singapore,,account_identifiers_for_other_information_requests,6
2020-H1,International Government Information Requests,Country,Singapore,,percentage_of_other_information_requests_where_some_data_was_produced,0
2020-H1,International Government Information Requests,Country,Slovenia,,emergency_requests,7
2020-H1,International Government Information Requests,Country,Slovenia,,account_identifiers_for_emergency_requests,14
2020-H1,International Government Information Requests,Country,Slovenia,,percentage_of_emergency_requests_where_some_data_was_produced,0
2020-H1,International Government Information Requests,Country,Slovenia,,other_information_requests,6
2020-H1,International Government Information Requests,Country,Slovenia,,account_identifiers_for_other_information_requests,9
2020-H1,International Government Information Requests,Country,Slovenia,,percentage_of_other_information_requests_where_some_data_was_produced,0
2020-H1,International Government Information Requests,Country,Spain,,emergency_requests,0
2020-H1,International Government Information Requests,Country,Spain,,account_identifiers_for_emergency_requests,0
2020-H1,International Government Information Requests,Country,Spain,,percentage_of_emergency_requests_where_some_data_was_produced,0
2020-H1,International Government Information Requests,Country,Spain,,other_information_requests,2
2020-H1,International Government Information Requests,Country,Spain,,account_identifiers_for_other_information_requests,2
2020-H1,International Government Information Requests,Country,Spain,,percentage_of_other_information_requests_where_some_data_was_produced,0
2020-H1,International Government Information Requests,Country,Sweden,,emergency_requests,7
2020-H1,International Government Information Requests,Country,Sweden,,account_identifiers_for_emergency_requests,7
2020-H1,International Government Information Requests,Country,Sweden,,percentage_of_emergency_requests_where_some_data_was_produced,0.14
2020-H1,International Government Information Requests,Country,Sweden,,other_information_requests,107
2020-H1,International Government Information Requests,Country,Sweden,,account_identifiers_for_other_information_requests,178
2020-H1,International Government Information Requests,Country,Sweden,,percentage_of_other_information_requests_where_some_data_was_produced,0
2020-H1,International Government Information Requests,Country,Switzerland,,emergency_requests,22
2020-H1,International Government Information Requests,Country,Switzerland,,account_identifiers_for_emergency_requests,40
2020-H1,International Government Information Requests,Country,Switzerland,,percentage_of_emergency_requests_where_some_data_was_produced,0.45
2020-H1,International Government Information Requests,Country,Switzerland,,other_information_requests,15
2020-H1,International Government Information Requests,Country,Switzerland,,account_identifiers_for_other_information_requests,21
2020-H1,International Government Information Requests,Country,Switzerland,,percentage_of_other_information_requests_where_some_data_was_produced,0
2020-H1,International Government Information Requests,Country,United Arab Emirates,,emergency_requests,3
2020-H1,International Government Information Requests,Country,United Arab Emirates,,account_identifiers_for_emergency_requests,4
2020-H1,International Government Information Requests,Country,United Arab Emirates,,percentage_of_emergency_requests_where_some_data_was_produced,1
2020-H1,International Government Information Requests,Country,United Arab Emirates,,other_information_requests,1
2020-H1,International Government Information Requests,Country,United Arab Emirates,,account_identifiers_for_other_information_requests,1
2020-H1,International Government Information Requests,Country,United Arab Emirates,,percentage_of_other_information_requests_where_some_data_was_produced,0
2020-H1,International Government Information Requests,Country,United Kingdom,,emergency_requests,442
2020-H1,International Government Information Requests,Country,United Kingdom,,account_identifiers_for_emergency_requests,509
2020-H1,International Government Information Requests,Country,United Kingdom,,percentage_of_emergency_requests_where_some_data_was_produced,0.73
2020-H1,International Government Information Requests,Country,United Kingdom,,other_information_requests,1833
2020-H1,International Government Information Requests,Country,United Kingdom,,account_identifiers_for_other_information_requests,2445
2020-H1,International Government Information Requests,Country,United Kingdom,,percentage_of_other_information_requests_where_some_data_was_produced,0.67
2020-H1,United States National Security Requests,NSLs and FISA Orders/Directives,,,requests,0-249
2020-H1,United States National Security Requests,NSLs and FISA Orders/Directives,,,account_identifiers,500-749
2020-H1,Governmental Content Removal Requests,,,,removal_requests,0
2020-H1,Governmental Content Removal Requests,,,,percentage_of_requests_where_some_content_was_removed,N/A
2020-H1,Copyrighted Content Takedown Notices (DMCA),DMCA Counter-Notices,,,counter_notices,0
2020-H1,Copyrighted Content Takedown Notices (DMCA),DMCA Counter-Notices,,,percentage_of_requests_where_some_content_was_removed,N/A
2020-H1,Copyrighted Content Takedown Notices (DMCA),DMCA Takedown Notices,,,notices,403
2020-H1,Copyrighted Content Takedown Notices (DMCA),DMCA Takedown Notices,,,percentage_of_requests_where_some_content_was_removed,0.295
2020-H1,Account / Content Violations,Country,Afghanistan,Harassment and Bullying,content_reports,37
2020-H1,Account / Content Violations,Country,Afghanistan,Harassment and Bullying,content_enforced,7
2020-H1,Account / Content Violations,Country,Afghanistan,Harassment and Bullying,unique_accounts_enforced,7
2020-H1,Account / Content Violations,Country,Afghanistan,Hate Speech,content_reports,6
2020-H1,Account / Content Violations,Country,Afghanistan,Hate Speech,content_enforced,1
2020-H1,Account / Content Violations,Country,Afghanistan,Hate Speech,unique_accounts_enforced,1
2020-H1,Account / Content Violations,Country,Afghanistan,Impersonation,content_reports,182
2020-H1,Account / Content Violations,Country,Afghanistan,Impersonation,content_enforced,2
2020-H1,Account / Content Violations,Country,Afghanistan,Impersonation,unique_accounts_enforced,2
2020-H1,Account / Content Violations,Country,Afghanistan,Regulated Goods,content_reports,15
2020-H1,Account / Content Violations,Country,Afghanistan,Regulated Goods,content_enforced,3
2020-H1,Account / Content Violations,Country,Afghanistan,Regulated Goods,unique_accounts_enforced,3
2020-H1,Account / Content Violations,Country,Afghanistan,Sexually Explicit Content,content_reports,392
2020-H1,Account / Content Violations,Country,Afghanistan,Sexually Explicit Content,content_enforced,143
2020-H1,Account / Content Violations,Country,Afghanistan,Sexually Explicit Content,unique_accounts_enforced,71
2020-H1,Account / Content Violations,Country,Afghanistan,Spam,content_reports,30
2020-H1,Account / Content Violations,Country,Afghanistan,Spam,content_enforced,3
2020-H1,Account / Content Violations,Country,Afghanistan,Spam,unique_accounts_enforced,3
2020-H1,Account / Content Violations,Country,Afghanistan,Threatening / Violence / Harm,content_reports,41
2020-H1,Account / Content Violations,Country,Afghanistan,Threatening / Violence / Harm,content_enforced,9
2020-H1,Account / Content Violations,Country,Afghanistan,Threatening / Violence / Harm,unique_accounts_enforced,8
2020-H1,Account / Content Violations,Country,Aland Islands,Harassment and Bullying,content_reports,17
2020-H1,Account / Content Violations,Country,Aland Islands,Harassment and Bullying,content_enforced,3
2020-H1,Account / Content Violations,Country,Aland Islands,Harassment and Bullying,unique_accounts_enforced,3
2020-H1,Account / Content Violations,Country,Aland Islands,Impersonation,content_reports,28
2020-H1,Account / Content Violations,Country,Aland Islands,Impersonation,content_enforced,0
2020-H1,Account / Content Violations,Country,Aland Islands,Impersonation,unique_accounts_enforced,0
2020-H1,Account / Content Violations,Country,Aland Islands,Regulated Goods,content_reports,3
2020-H1,Account / Content Violations,Country,Aland Islands,Regulated Goods,content_enforced,1
2020-H1,Account / Content Violations,Country,Aland Islands,Regulated Goods,unique_accounts_enforced,1
2020-H1,Account / Content Violations,Country,Aland Islands,Sexually Explicit Content,content_reports,28
2020-H1,Account / Content Violations,Country,Aland Islands,Sexually Explicit Content,content_enforced,5
2020-H1,Account / Content Violations,Country,Aland Islands,Sexually Explicit Content,unique_accounts_enforced,5
2020-H1,Account / Content Violations,Country,Aland Islands,Spam,content_reports,6
2020-H1,Account / Content Violations,Country,Aland Islands,Spam,content_enforced,0
2020-H1,Account / Content Violations,Country,Aland Islands,Spam,unique_accounts_enforced,0
2020-H1,Account / Content Violations,Country,Aland Islands,Threatening / Violence / Harm,content_reports,13
2020-H1,Account / Content Violations,Country,Aland Islands,Threatening / Violence / Harm,content_enforced,2
2020-H1,Account / Content Violations,Country,Aland Islands,Threatening / Violence / Harm,unique_accounts_enforced,1
2020-H1,Account / Content Violations,Country,Albania,Harassment and Bullying,content_reports,1901
2020-H1,Account / Content Violations,Country,Albania,Harassment and Bullying,content_enforced,571
2020-H1,Account / Content Violations,Country,Albania,Harassment and Bullying,unique_accounts_enforced,287
2020-H1,Account / Content Violations,Country,Albania,Hate Speech,content_reports,161
2020-H1,Account / Content Violations,Country,Albania,Hate Speech,content_enforced,45
2020-H1,Account / Content Violations,Country,Albania,Hate Speech,unique_accounts_enforced,44
2020-H1,Account / Content Violations,Country,Albania,Impersonation,content_reports,7863
2020-H1,Account / Content Violations,Country,Albania,Impersonation,content_enforced,147
2020-H1,Account / Content Violations,Country,Albania,Impersonation,unique_accounts_enforced,134
2020-H1,Account / Content Violations,Country,Albania,Regulated Goods,content_reports,313
2020-H1,Account / Content Violations,Country,Albania,Regulated Goods,content_enforced,102
2020-H1,Account / Content Violations,Country,Albania,Regulated Goods,unique_accounts_enforced,93
2020-H1,Account / Content Violations,Country,Albania,Sexually Explicit Content,content_reports,246334
2020-H1,Account / Content Violations,Country,Albania,Sexually Explicit Content,content_enforced,100821
2020-H1,Account / Content Violations,Country,Albania,Sexually Explicit Content,unique_accounts_enforced,20825
2020-H1,Account / Content Violations,Country,Albania,Spam,content_reports,2557
2020-H1,Account / Content Violations,Country,Albania,Spam,content_enforced,1278
2020-H1,Account / Content Violations,Country,Albania,Spam,unique_accounts_enforced,855
2020-H1,Account / Content Violations,Country,Albania,Threatening / Violence / Harm,content_reports,1648
2020-H1,Account / Content Violations,Country,Albania,Threatening / Violence / Harm,content_enforced,362
2020-H1,Account / Content Violations,Country,Albania,Threatening / Violence / Harm,unique_accounts_enforced,325
2020-H1,Account / Content Violations,Country,Algeria,Harassment and Bullying,content_reports,777
2020-H1,Account / Content Violations,Country,Algeria,Harassment and Bullying,content_enforced,71
2020-H1,Account / Content Violations,Country,Algeria,Harassment and Bullying,unique_accounts_enforced,58
